Channel,Pre_EO,Post_EO,EO_Pct_Change,Pre_EC,Post_EC,EC_Pct_Change,Pre_Reactivity,Post_Reactivity,Reactivity_Pct_Change
FP1,0.7583518028259277,1.271077275276184,67.61050353406326,1.6676874160766602,2.005028247833252,20.228061236452056,0.7880457639694214,0.4557933509349823,-42.16156322709851
FP2,0.8153643012046814,1.2437461614608765,52.538706885164224,1.8248943090438843,2.1734910011291504,19.102294875800567,0.8056423664093018,0.5582067370414734,-30.712837318950054
F3,0.6214091181755066,1.0480104684829712,68.65064219849091,1.403120517730713,1.6674216985702515,18.83666994386175,0.8144643306732178,0.4643850028514862,-42.98276973435582
Fz,0.7022091150283813,1.1835094690322876,68.54088671071344,1.6578561067581177,2.020343065261841,21.864802200026535,0.8590493202209473,0.5347831845283508,-37.74709182113028
F4,0.6549459099769592,1.0034035444259644,53.20403244617006,1.5307457447052002,1.821742057800293,19.010101063592014,0.8489576578140259,0.5963954329490662,-29.749684514923878
FCz,0.652023434638977,1.0289428234100342,57.807644441454165,1.4478323459625244,1.780322790145874,22.96470617682662,0.7977422475814819,0.5482627749443054,-31.273192988527853
C3,0.3490488827228546,0.5479689240455627,56.98916431732314,0.7100043296813965,0.8341885805130005,17.49063289336979,0.7100590467453003,0.4202409088611603,-40.81606159552227
Cz,0.6149927973747253,0.8595013618469238,39.75795578679198,1.200425148010254,1.3760870695114136,14.633309023251083,0.6688205003738403,0.4706469178199768,-29.630309244871157
C4,0.3572162091732025,0.43189579248428345,20.905989536121872,0.6058072447776794,0.760176956653595,25.48165496643515,0.5282206535339355,0.5653668642044067,7.032328331342828
CP3,0.0,0.0,,0.0,0.0,,,,
CPz,0.3878045678138733,0.47899964451789856,23.51573041496363,0.6529002785682678,0.6941306591033936,6.314958331085265,0.5209228992462158,0.3709603548049927,-28.787857984016725
CP4,0.0,0.0,,0.0,0.0,,,,
P3,0.5891444087028503,0.9782408475875854,66.04432345228037,1.2428704500198364,1.825557827949524,46.88239051144773,0.7465075254440308,0.6238849759101868,-16.42616388373403
Pz,0.47515806555747986,0.7138299942016602,50.23000680082282,0.9082908630371094,1.1844881772994995,30.408465559022773,0.6479171514511108,0.5064212083816528,-21.838585805693818
P4,0.5195494890213013,0.9120204448699951,75.54062974597646,1.1217507123947144,1.3657060861587524,21.747735131207712,0.7696837782859802,0.4037644565105438,-47.541514073520865
PO3,1.183984637260437,2.071493625640869,74.95950204505989,3.2838385105133057,4.342973232269287,32.25294783422299,1.0201274156570435,0.7402892112731934,-27.431691383728957
POz,0.0,0.0,,0.0,0.0,,,,
PO4,1.1589986085891724,2.3789596557617188,105.259923362426,3.346506118774414,4.068953514099121,21.5881092005679,1.0603604316711426,0.5367226004600525,-49.38300370052753
O1,1.45781409740448,2.4534504413604736,68.29652324865314,4.009906768798828,5.10305118560791,27.261093083631334,1.0118298530578613,0.7323431968688965,-27.621902570311143
Oz,1.1098284721374512,1.7267520427703857,55.58728993902845,2.4756340980529785,3.2452285289764404,31.08676001549372,0.8022910952568054,0.6309435367584229,-21.357280357640754
O2,1.6888010501861572,3.2584123611450195,92.94234574201877,5.148737907409668,5.695196151733398,10.613440694608085,1.1147327423095703,0.5583829879760742,-49.9088017438886
