Channel,Pre_EO,Post_EO,EO_Pct_Change,Pre_EC,Post_EC,EC_Pct_Change,Pre_Reactivity,Post_Reactivity,Reactivity_Pct_Change
FP1,0.4553082287311554,0.8193536996841431,79.95582947567253,1.0730265378952026,1.1809601783752441,10.058804388170953,0.8572638630867004,0.36556723713874817,-57.35650913565033
FP2,0.5682892799377441,1.7202645540237427,202.7093092820961,1.2807154655456543,1.3959722518920898,8.999406148135323,0.8125435709953308,-0.20888695120811462,-125.70778462405863
F3,0.2918977737426758,0.3748280107975006,28.41071241877044,0.8028203248977661,0.8822669982910156,9.895946942221041,1.0117273330688477,0.8560274839401245,-15.389507038071477
Fz,0.30404549837112427,0.37933871150016785,24.76379802773436,0.9276270270347595,1.0263348817825317,10.640898968123045,1.1154522895812988,0.9953198432922363,-10.769841741429923
F4,0.31900113821029663,0.44491222500801086,39.4704192919554,0.9165690541267395,0.9943865537643433,8.490085857387399,1.0554426908493042,0.8042490482330322,-23.799837243094547
FCz,0.2593579590320587,0.28573867678642273,10.171547406070983,0.778317928314209,0.824002742767334,5.86968548342136,1.0989258289337158,1.059096097946167,-3.6244239546353634
C3,0.19217126071453094,0.24275022745132446,26.3197350887593,0.35711991786956787,0.365702748298645,2.403346887028543,0.6196846961975098,0.40978777408599854,-33.871567814966916
Cz,0.2549196779727936,0.28278231620788574,10.929967610450934,0.5291771292686462,0.5634394884109497,6.47464851507397,0.7303746938705444,0.6893824934959412,-5.612489139974085
C4,0.19266240298748016,0.23885272443294525,23.974745839989698,0.33493947982788086,0.3828282952308655,14.297751769243144,0.5530103445053101,0.47173941135406494,-14.696096367590597
CP3,,,,,,,,,
CPz,,,,,,,,,
CP4,,,,,,,,,
P3,0.5270241498947144,0.7017942667007446,33.161690378124945,1.690551519393921,1.9080291986465454,12.864303557610143,1.165563702583313,1.0001858472824097,-14.1886586665633
Pz,0.4275358319282532,0.5125094056129456,19.875193454885018,1.260607361793518,1.3189479112625122,4.627971503037285,1.0813108682632446,0.9452705979347229,-12.581050863478676
P4,0.6528545618057251,0.6254025101661682,-4.204926065558534,1.8103762865066528,1.9312084913253784,6.6744248540664675,1.0199356079101562,1.1275057792663574,10.546761042749747
PO3,,,,,,,,,
POz,,,,,,,,,
PO4,,,,,,,,,
O1,0.8758978843688965,1.2642300128936768,44.33531984205922,4.558160781860352,5.23540735244751,14.857891219685085,1.6494250297546387,1.4209814071655273,-13.849894264251198
Oz,1.0292812585830688,1.351331114768982,31.288809885575297,3.2199387550354004,3.7136263847351074,15.33220558706805,1.1405014991760254,1.0109187364578247,-11.361910774498757
O2,,,,,,,,,
